SKU;ID Tiny;Estoque
8.25.53.04.00;812010413;0
8.25.53.15.00;811850377;0
8.25.53.34.114;811850138;0
8.25.53.46.00;811852441;0
8.25.57.10.00;811857267;0
8.25.75.04.10;812011296;0
8.25.75.38.00;812011746;0
8.25.75.41.00;812011207;0
8.29.01.01.16;811855269;0
8.30.53.08.00;811925291;0
8.30.57.13.69;812011115;0
8.30.57.14.00;811929088;0
8.01.01.14.11;809551195;0
8.03.23.04.10;809541569;0
8.03.71.16.07;809541322;0
8.04.04.11.10;811363559;0
8.06.103.04.10;811379585;0
8.07.02.47.80;811816759;0
8.07.04.40.01;811818143;0
8.07.04.50.10;809546432;0
8.08.04.02.10;811819330;0
8.09.02.115.01;811833061;0
8.09.02.123.10;812031936;0
8.09.03.42.00;811836832;1
8.09.04.130.57;909753420;0
8.09.04.96.01;811844659;0
8.09.103.02.10;811833765;0
8.09.103.03.01;811833694;1
8.09.23.62.01;811834781;0
8.11.01.01.01;811926672;0
8.13.33.02.00;812027064;0
8.24.53.17.07;811923792;0
8.24.53.21.07;811923884;0
8.24.53.71.07;811924137;0
8.24.92.16.00;811858077;0
8.25.101.02.07;811859353;2
8.25.53.01.00;812010051;0
8.25.57.158.01;812028898;0
8.25.57.59.03;809546004;0
8.25.75.40.18;812011259;0
8.26.138.11.18;811918898;0
8.26.138.17.113;811918982;0
8.26.138.18.113;811918998;0
8.26.138.21.113;811918962;0
8.26.138.43.57;811916817;0
8.26.138.66.18;811918279;0
8.26.138.69.18;811918244;0
8.26.138.76.16;811916315;0
8.30.33.30.00;809545699;0
8.30.94.08.00;812012357;0
8.30.94.10.00;811848883;0
8.01.01.17.10;809550470;0
8.01.71.07.18;809551614;0
8.01.74.04.06;809552402;0
8.03.01.03.18;809543860;1
8.03.02.47.01;811816611;0
8.03.03.15.10;811358745;0
8.04.03.19.07;811364880;1
8.04.23.13.07;811363703;0
8.05.01.13.27;811927303;0
8.07.04.54.10;809547156;0
8.07.04.55.01;811816263;0
8.07.23.18.01;811817196;0
8.08.04.03.10;811819311;0
8.08.98.01.07;811819259;0
8.09.01.05.01;811834785;0
8.09.02.97.01;811836001;0
8.09.03.110.18;811836857;0
8.09.03.87.10;811846954;0
8.09.03.88.01;811846998;0
8.09.04.116.01;811846125;0
8.09.04.64.01;812031220;0
8.09.04.94.07;811844478;1
8.09.23.67.01;811841005;0
8.09.28.69.00;811847930;0
8.09.74.04.10;811844384;0
8.11.01.02.10;811926764;0
8.11.92.10.00;811926306;0
8.12.01.01.10;811859277;0
8.12.01.09.01;809540978;0
8.12.98.04.00;812008369;0
8.13.33.08.00;812027234;2
8.13.57.02.69;811858786;0
8.24.23.69.18;909753396;0
8.24.53.23.00;811367358;0
8.24.70.54.07;811996209;0
8.24.70.55.18;811996301;0
8.24.92.12.00;811857980;0
8.25.01.41.06;909753016;0
8.25.02.06.06;909753162;0
8.25.101.05.11;811859385;2
8.25.53.110.11;811934557;0
8.25.53.24.00;812004722;0
8.25.53.26.00;812004696;0
8.25.57.124.00;812009842;1
8.25.57.147.16;811924456;0
8.25.57.89.10;809541481;0
8.25.70.34.00;811914908;0
8.25.75.01.10;811362530;0
8.25.75.43.10;811832120;0
8.25.75.49.01;811832146;0
8.25.86.01.00;811370609;0
8.25.98.03.18;811911846;0
8.26.138.08.18;811918927;0
8.26.138.10.18;811918872;0
8.26.138.12.18;811918791;0
8.26.138.13.18;811918814;0
8.26.138.14.18;811918834;0
8.26.138.15.113;811919017;0
8.26.138.16.113;811918971;0
8.26.138.19.113;811918946;0
8.26.138.20.113;811918955;0
8.26.138.45.57;811916682;0
8.26.138.49.57;811916568;0
8.26.138.50.06;811916238;0
8.26.138.67.18;811918208;0
8.26.138.68.18;811918225;0
8.26.138.70.16;811916458;0
8.26.138.74.16;811916287;0
8.26.138.75.16;811916303;0
8.26.138.83.11;811917606;0
8.30.148.12.00;811371489;0
8.30.33.29.00;809545622;0
8.30.33.60.69;909753141;0
8.30.53.40.00;811848185;0
8.30.53.76.69;811373440;0
8.30.57.01.00;812011150;0
8.30.57.49.11;811367103;0
8.67.57.01.11;812031781;0
8.01.04.01.10;809552398;0
8.01.103.03.07;809550258;0
8.01.47.03.10;809550228;0
8.01.57.01.07;811355530;0
8.01.74.05.10;809552535;0
8.01.74.11.10;809552498;0
8.03.01.07.27;809543786;4
8.03.01.08.27;809543946;0
8.03.01.09.01;909753326;0
8.03.57.01.69;809541233;0
8.03.71.07.00;809542465;2
8.04.02.07.106;811363952;1
8.04.04.10.10;811363517;0
8.04.04.15.18;811364599;0
8.05.04.01.18;809544941;0
8.06.02.03.80;811384412;3
8.06.04.07.06;811377539;0
8.06.103.06.57;811377703;0
8.06.76.01.06;811386756;0
8.07.01.34.27;811815040;-1
8.07.02.46.01;811815182;0
8.07.04.03.07;909753461;0
8.07.04.04.18;909753471;0
8.07.04.36.01;811817063;0
8.07.04.41.01;811817003;1
8.07.04.44.01;811816890;0
8.07.04.53.01;809547228;0
8.07.23.17.01;809546731;0
8.07.23.19.01;908306907;0
8.07.23.20.10;908306918;0
8.08.98.06.08;811818621;0
8.08.98.07.01;811818689;0
8.08.98.08.07;811818732;0
8.08.98.09.10;811818726;0
8.08.98.10.18;811818632;0
8.09.01.01.01;811833153;1
8.09.01.03.01;811833145;0
8.09.01.85.01;812029457;1
8.09.02.104.10;811834320;0
8.09.03.02.10;909752907;0
8.09.03.77.01;811837193;46
8.09.23.77.01;909752881;0
8.09.28.70.10;811848087;0
8.09.76.07.10;811844155;0
8.09.76.28.01;811845403;0
8.09.76.36.01;811836349;0
8.11.33.01.11;909752920;0
8.11.92.01.00;811925837;0
8.11.92.02.00;811925951;0
8.11.92.04.00;811925996;0
8.11.92.05.00;811926188;0
8.11.92.09.00;811926294;0
8.11.92.12.00;811926336;0
8.11.92.13.00;811926350;0
8.11.92.14.00;811926360;0
8.11.92.19.00;811926021;0
8.12.01.02.06;811859045;0
8.12.01.19.01;811858912;0
8.12.98.03.00;812008193;0
8.13.98.07.69;812026997;0
8.14.110.04.11;811993491;0
8.24.23.06.18;811853614;0
8.24.23.09.16;811853417;0
8.24.23.13.18;811861283;0
8.24.23.26.18;812000276;0
8.24.23.67.10;909753365;0
8.24.23.68.07;909753383;0
8.24.33.02.11;909752810;0
8.24.47.26.07;811852705;0
8.24.53.27.00;811367504;0
8.24.53.38.00;811852950;0
8.24.53.72.18;811924105;0
8.24.57.73.07;811857045;0
8.24.86.07.11;811371406;0
8.24.92.13.00;811857986;0
8.24.92.15.00;811858053;0
